No,,Location,Thing,Group,,
1 ,,songdo,Computer,1-1,,
2 ,,subway station,iPhone,1-1,,
3 ,,home,laptop,1-1,,
4 ,,school,cigarette,1-1,,
5 ,,Dongchun,laptop,1-1,,
6 ,,Guwol-dong,book,1-1,,
7 ,,Guwol-dong,TV,1-1,,
8 ,,Daehwa-dong,bus stop,1-1,,
9 ,,Dongchun,laptop,1-1,,
10 ,,Guwol-dong,laptop,1-1,,
11 ,,Guwol-dong,TV,1-1,,
12 ,,Dongchun,book,1-1,,
13 ,,Bupyeong,car,1-1,,
14 ,,Guwol-dong,laptop,1-1,,
15 ,,Dongchun,laptop,1-1,,
16 ,,home,night walking,1-1,,
17 ,,Dongchun,Computer,1-1,,
18 ,,songdo,studyroom,1-1,,
19 ,,songdo,school,1-1,,
20 ,,Guwol-dong,vibrating bell,1-1,,
21 ,,Baeksuk-dong,computer,1-1,,
22 ,,Guwol-dong,postbox,1-1,,
23 ,,home,feeding dog,1-1,,
24 ,,subway station,Go to school,1-1,,
25 ,,songdo,recording,1-1,,
26 ,,Guwol-dong,laptop,1-1,,
27 ,,Dongchun,shopping,1-1,,
28 ,,home,drinking,1-1,,
29 ,,Dongchun,Hamburger,1-1,,
30 ,,Guwol-dong,study ,1-1,,
31 ,,Baeksuk-dong,part-time job,1-1,,
32 ,,songdo,laptop,1-1,,
33 ,,seoul,Dinner,1-1,,
34 ,,subway station,go home,1-1,,
35 ,,ilsan,Haircut,1-1,,
36 ,,Baeksuk-dong,café,1-1,,
37 ,,Dongchun,part-time job,1-1,,
38 ,,park,walking with dog,1-1,,
39 ,,Guwol-dong,Hamburger,1-1,,
40 ,,home,sleeping with dog,1-1,,
41 ,,Dongchun,night walking,1-1,,
1 ,,cafe,"TV,DVD",1-2,,
2 ,,518 lecture room,book,1-2,,
3 ,,baseball stadium,baseball game,1-2,,
4 ,,home,laptop,1-2,,
5 ,,Emart,shopping cart,1-2,,
6 ,,home,laptop,1-2,,
7 ,,restaurent,Hamburger,1-2,,
8 ,,restaurent,japanese cuisine,1-2,,
9 ,,park,Tulip,1-2,,
10 ,,phone case store,Phone case,1-2,,
11 ,,home,TV,1-2,,
12 ,,park,friends,1-2,,
13 ,,cafe,"comic book, coffee",1-2,,
14 ,,seoul expo,wine,1-2,,
15 ,,zoo,cranes,1-2,,
16 ,,doll drawing shop,Doll,1-2,,
17 ,,Home,Book,1-2,,
18 ,,Mcdonald's,Hamburger,1-2,,
19 ,,student restarant,Food,1-2,,
20 ,,park,tree,1-2,,
21 ,,Billiard room,Billiard,1-2,,
22 ,,home,TV,1-2,,
23 ,,home,book,1-2,,
24 ,,home,mouse,1-2,,
25 ,,home,board game,1-2,,
26 ,,Campus,drink ,1-2,,
27 ,,bus,bus stop,1-2,,
28 ,,home,TV,1-2,,
29 ,,restaurent,seafood,1-2,,
30 ,,home,ramen,1-2,,
31 ,,station,train,1-2,,
32 ,,cafe,coffee,1-2,,
33 ,,baseball stadium,baseball game,1-2,,
34 ,,cloth store,cloth,1-2,,
35 ,,bakery,cake,1-2,,
36 ,,road,car,1-2,,
1 ,,lecture room,book,1-5,,
2 ,,home,laptop,1-5,,
3 ,,Billiard room,cue stick,1-5,,
4 ,,going to home,Hamburger,1-5,,
5 ,,bar,soju,1-5,,
6 ,,home,laptop,1-5,,
7 ,,home,TV,1-5,,
8 ,,home,TV,1-5,,
9 ,,Billiard room,cue stick,1-5,,
10 ,,bus,shoes,1-5,,
11 ,,pc room,computer,1-5,,
12 ,,baseball stadium,cheer leader,1-5,,
13 ,,home,big grape,1-5,,
14 ,,home,bed,1-5,,
15 ,,subway station,carrier,1-5,,
16 ,,home,burden,1-5,,
17 ,,home,carrier,1-5,,
18 ,,home,computer,1-5,,
19 ,,rest room,gimbab,1-5,,
20 ,,home,piggy bank,1-5,,
21 ,,bus stop,soldier friend,1-5,,
22 ,,home,computer,1-5,,
